ax,ay,az,gx,gy,gz,label
7860,17612,2408,354,-2123,1145,caminar
4660,10540,3368,976,-2922,909,caminar
5392,12024,2568,-434,-2325,-2567,caminar
6888,17288,3684,-617,-1515,-2669,caminar
5848,15600,2572,-545,1456,2051,caminar
4156,11208,256,-37,1885,1406,caminar
5396,11632,280,189,2547,425,caminar
6084,13072,628,-89,3776,1130,caminar
6216,15172,3228,-145,1032,-828,caminar
6680,18296,2412,-156,-863,-2372,caminar
5608,18124,1432,-539,-966,-1641,caminar
3004,16136,2968,-419,-1579,-4186,caminar
6292,20916,5488,-963,-2589,-7671,caminar
5640,16404,2428,344,-1951,-1429,caminar
2680,11892,1600,1957,-3070,-2660,caminar
3604,14328,464,454,2171,-733,caminar
3868,15684,664,-692,7260,2414,caminar
4824,14828,1236,-199,8953,5163,caminar
4764,12664,2224,-481,6748,4921,caminar
4980,13476,1760,-1973,965,1833,caminar
5172,15912,-848,-593,-3845,-178,caminar
5888,16848,120,-82,-3940,-775,caminar
7636,17376,2856,-1782,-3140,390,caminar
8488,18364,6768,-3566,-5000,-717,caminar
8380,16780,5548,-4505,-5965,414,caminar
6408,10812,3492,-3271,-8346,84,caminar
4068,6812,4400,-4360,-10508,-3098,caminar
6968,12600,2640,-6539,-9874,-5718,caminar
9292,18380,3864,-6103,-8807,-4582,caminar
8096,16912,3288,-3602,-7695,-1309,caminar
6528,13176,2600,-2054,-7373,-990,caminar
5416,12136,3040,-2299,-7917,-3337,caminar
6300,15252,3764,-1647,-8481,-5139,caminar
6496,16424,4596,-1570,-8964,-5443,caminar
7476,20012,6944,-3099,-10312,-5973,caminar
5624,15168,5020,-2740,-9742,388,caminar
1988,9224,6740,-2432,-15316,-4167,caminar
4080,15400,6052,-4771,-17517,-6255,caminar
5612,18844,5580,-5728,-16381,-4391,caminar
3728,14024,5828,-5828,-16633,-1384,caminar
2840,11528,5696,-5977,-19789,-3407,caminar
3052,12476,6304,-7409,-20666,-2949,caminar
3592,14220,6888,-8837,-20838,-3576,caminar
5180,17188,7084,-7752,-21205,-3967,caminar
4924,16348,6828,-7401,-19450,-2215,caminar
4472,14156,4976,-6534,-18109,-2408,caminar
3968,12760,4184,-5549,-16367,-3138,caminar
5652,14232,4092,-6241,-12973,-3110,caminar
6496,15760,3120,-5283,-10934,-3160,caminar
6340,14520,3284,-4865,-10113,-3135,caminar
6072,14872,3088,-3839,-10603,-5128,caminar
5032,14936,2900,-3756,-10552,-4676,caminar
4984,15608,2164,-2236,-8831,-5740,caminar
5368,15056,1640,-1182,-5995,-3715,caminar
6048,16528,3520,-1170,-2865,-3786,caminar
6104,19120,5916,-463,-3155,-2179,caminar
4852,17260,3888,296,-3282,-1293,caminar
2096,11912,4472,1173,-2342,-853,caminar
1444,13984,3868,-6,-2577,-196,caminar
1516,16164,3708,-72,-2192,-2330,caminar
2492,16628,1104,95,-1339,-1561,caminar
2580,14796,-316,-545,221,536,caminar
3740,14992,228,452,1300,735,caminar
4560,15764,1044,-1425,4302,4176,caminar
4496,15836,972,-2520,3247,5416,caminar
4484,17084,624,-3320,3253,6778,caminar
5464,18012,2700,-322,1347,5220,caminar
5608,15828,3560,-5562,3968,10428,caminar
4820,14264,6076,-1604,1440,2595,caminar
8920,17752,9240,620,-668,-174,caminar
7544,11904,6944,-2303,2814,3214,caminar
5364,7896,6784,598,1399,-874,caminar
6212,10024,5880,3011,-456,-4604,caminar
7788,14844,6716,-1592,1107,-2834,caminar
5048,12612,2680,-4562,4191,3168,caminar
4592,11220,1996,-2254,2550,-197,caminar
6948,14744,4292,2445,1814,-5041,caminar
10136,16564,5668,-228,8213,4723,caminar
9272,13028,5992,4411,4164,1262,caminar
